product_url,product_name,product_id,image_urls,rating,quickview_url,brand,description,variations
https://www.biba.in/intl/green-brass-jhumka/BACWJNAERG00348SS25GRN.html,Green Brass Jhumka,5860873,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwafa9c2a0/images/ss25/bacwjnaerg00348ss25grn_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw00ad47ef/images/ss25/bacwjnaerg00348ss25grn_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw0af11ddc/images/ss25/bacwjnaerg00348ss25grn_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwd7838dec/images/ss25/bacwjnaerg00348ss25grn_4.jpg?sw=242&sh=363",4 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWJNAERG00348SS25GRN,Biba,,"{""Material"": ""Brass"", ""Plating"": ""Oxidize"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones And Beads""}"
https://www.biba.in/intl/gold-green-alloy-jhumka/BACWVCCERG00106SS25GLGR.html,Gold Green Alloy Jhumka,6713729,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw368d8b78/images/ss25/bacwvccerg00106ss25glgr_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwbe9ef656/images/ss25/bacwvccerg00106ss25glgr_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwd63a71c5/images/ss25/bacwvccerg00106ss25glgr_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw696b33c6/images/ss25/bacwvccerg00106ss25glgr_4.jpg?sw=242&sh=363",4.4 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWVCCERG00106SS25GLGR,Biba,,"{""Material"": ""Alloy"", ""Plating"": ""Antique Gold"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones And Beads""}"
https://www.biba.in/intl/pink-and-green-oxidised-stone-studded-studs/BACWJNAERG00380SS25GRPN.html,Pink and Green Oxidised Stone-Studded Studs,4268548,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw4cce5ced/images/ss25/bacwjnaerg00380ss25grpn_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw3b5b134d/images/ss25/bacwjnaerg00380ss25grpn_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw09ffa586/images/ss25/bacwjnaerg00380ss25grpn_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwf7f6e679/images/ss25/bacwjnaerg00380ss25grpn_4.jpg?sw=242&sh=363",4.6 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWJNAERG00380SS25GRPN,Biba,"Bring playful elegance to your ensemble with these eye-catching pink and green circular brass studs. Adorned with delicate, sparkling stone accents, these earrings offer a lively pop of color while maintaining an air of timeless sophistication. The harmonious blend of vibrant hues and a classic circular design creates a piece that’s both whimsical and refined. Crafted for comfort, they feature a secure push-plug closure - making them an effortless way to elevate your everyday look or add flair to festive wear. Bring playful elegance to your ensemble with these eye-catching pink and green circular brass studs. Adorned with delicate, sparkling stone accents, these earrings offer a lively pop of color while maintaining an air of timeless sophistication. The harmonious blend of vibrant hues and a classic circular design creates a piece that’s both whimsical and refined. Crafted for comfort, they feature a secure push-plug closure - making them an effortless way to elevate your everyday look or add flair to festive wear.","{""Material"": ""Brass"", ""Plating"": ""Oxidize"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones And Beads""}"
https://www.biba.in/intl/navy-brass-studs/BACWJNAERG00361SS25NVY.html,Navy Brass Studs,2581817,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw54bdf570/images/ss25/bacwjnaerg00361ss25nvy_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwfa04c8f9/images/ss25/bacwjnaerg00361ss25nvy_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwccb87889/images/ss25/bacwjnaerg00361ss25nvy_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw9f36c2a5/images/ss25/bacwjnaerg00361ss25nvy_4.jpg?sw=242&sh=363",5 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWJNAERG00361SS25NVY,Biba,,"{""Material"": ""Brass"", ""Plating"": ""Oxidize"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones And Beads""}"
https://www.biba.in/intl/pink-brass-drop-and-danglers/BACWDIVERG00060AW25PNK.html,Pink Brass Drop & Danglers,4745418,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwd3e1a581/images/aw25/bacwdiverg00060aw25pnk_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwdf4a5efe/images/aw25/bacwdiverg00060aw25pnk_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw544c70fe/images/aw25/bacwdiverg00060aw25pnk_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw008b2681/images/aw25/bacwdiverg00060aw25pnk_4.jpg?sw=242&sh=363",4.9 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWDIVERG00060AW25PNK,Biba,,"{""Material"": ""Brass"", ""Plating"": ""Antique Gold"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
https://www.biba.in/intl/red-brass-jhumka/BACWPBCERG00471SS25RED.html,Red Brass Jhumka,2156238,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwbcbaa594/images/ss25/bacwpbcerg00471ss25red_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwa4e042ee/images/ss25/bacwpbcerg00471ss25red_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwc2a99945/images/ss25/bacwpbcerg00471ss25red_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw354f1667/images/ss25/bacwpbcerg00471ss25red_4.jpg?sw=242&sh=363",5 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWPBCERG00471SS25RED,Biba,,"{""Material"": ""Brass"", ""Plating"": ""Gold"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
https://www.biba.in/intl/light-pink-alloy-drop-and-danglers/BACWVCCERG00135SS25LPNK.html,Light Pink Alloy Drop & Danglers,8892992,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw4ee452b7/images/ss25/bacwvccerg00135ss25lpnk_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwfafac785/images/ss25/bacwvccerg00135ss25lpnk_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwea5057d7/images/ss25/bacwvccerg00135ss25lpnk_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw23407e4b/images/ss25/bacwvccerg00135ss25lpnk_4.jpg?sw=242&sh=363",3.5 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWVCCERG00135SS25LPNK,Biba,,"{""Material"": ""Alloy"", ""Plating"": ""Silver"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
https://www.biba.in/intl/turquoise-brass-drop-and-danglers/BACWJNAERG00396SS25TUR.html,Turquoise Brass Drop & Danglers,5231068,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw7bd3b299/images/ss25/bacwjnaerg00396ss25tur_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwfbc261dd/images/ss25/bacwjnaerg00396ss25tur_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw43316fca/images/ss25/bacwjnaerg00396ss25tur_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw07ec1d86/images/ss25/bacwjnaerg00396ss25tur_4.jpg?sw=242&sh=363",5 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWJNAERG00396SS25TUR,Biba,,"{""Material"": ""Brass"", ""Plating"": ""Oxidize"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
https://www.biba.in/intl/green-alloy-drop-and-danglers/BACWRMCERG00060AW25GRN.html,Green Alloy Drop & Danglers,9947369,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw3a8611ad/images/aw25/bacwrmcerg00060aw25grn_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwe8674833/images/aw25/bacwrmcerg00060aw25grn_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwad2285c9/images/aw25/bacwrmcerg00060aw25grn_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw1c1420e1/images/aw25/bacwrmcerg00060aw25grn_4.jpg?sw=242&sh=363",4.6 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWRMCERG00060AW25GRN,Biba,,"{""Material"": ""Alloy"", ""Plating"": ""Silver"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
https://www.biba.in/intl/red-alloy-drop-and-danglers/BACWRMCERG00059AW25RED.html,Red Alloy Drop & Danglers,8809587,"https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw5a9fc188/images/aw25/bacwrmcerg00059aw25red_1.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw458076fd/images/aw25/bacwrmcerg00059aw25red_2.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dwaa0b499c/images/aw25/bacwrmcerg00059aw25red_3.jpg?sw=242&sh=363, https://www.biba.in/dw/image/v2/BKQK_PRD/on/demandware.static/-/Sites-biba-product-catalog/default/dw867455f7/images/aw25/bacwrmcerg00059aw25red_4.jpg?sw=242&sh=363",3.2 out of 5 Customer Rating,https://www.biba.in/on/demandware.store/Sites-BibaGlobal-Site/en_US/Product-ShowQuickView?pid=BACWRMCERG00059AW25RED,Biba,,"{""Material"": ""Alloy"", ""Plating"": ""Silver"", ""Closer"": ""Push Plugs"", ""Stone Type"": ""Artificial Stones and Beads""}"
